C,C++,"C#",D,Haskell,Java,ML,Python,Ripl,Rust,Scala,Scheme
compilation,+1,+1,+1,+1,+1,+1,+1,-1,+1,+1,+1,-1
garbage-collection,-1,-1,+1,+1,+1,+1,+1,+1,NA,-1,+1,+1
explicit-indirection,+1,+1,-1,+1,-1,-1,-1,-1,+1,+1,-1,-1
ownership-system,-1,-1,-1,-1,-1,-1,-1,-1,NA,+1,-1,-1
static-typing,+1,+1,+1,+1,+1,+1,+1,-1,+1,+1,+1,-1
memory-safety,-1,-1,+1,+1,+1,+1,+1,+1,+1,+1,+1,+1
type-inference,-1,+1,+1,+1,+1,-1,+1,NA,+1,+1,+1,NA
sub-typing,+1,+1,+1,+1,-1,+1,-1,+1,+1,-1,+1,-1
parametric-polymorphism,-1,+1,+1,+1,+1,+1,+1,NA,+1,+1,+1,NA
type-classes,-1,-1,-1,-1,+1,-1,+1,-1,+1,+1,-1,-1
type-level-programming,-1,+1,-1,+1,+1,-1,+1,NA,+1,-1,+1,NA
ad-hoc-polymorphism,-1,+1,+1,+1,-1,+1,-1,NA,+1,-1,+1,NA
inheritance,-1,+1,+1,+1,-1,+1,-1,+1,-1,-1,+1,-1
strict-evaluation,+1,+1,+1,+1,-1,+1,+1,+1,+1,+1,+1,+1
type-safe-discriminated-unions,-1,-1,-1,+1,+1,-1,+1,-1,+1,+1,+1,-1
null-safety,-1,-1,-1,-1,+1,-1,+1,-1,+1,+1,-1,+1
pattern-matching,-1,-1,-1,-1,+1,-1,+1,-1,+1,+1,+1,-1
mutable-data,+1,+1,+1,+1,-1,+1,+1,+1,+1,+1,+1,+1
immutable-data,-1,+1,-1,+1,+1,-1,+1,-1,+1,+1,+1,-1
c-style-syntax,+1,+1,+1,+1,-1,+1,-1,+1,-1,+1,+1,-1
uses-header-files,+1,+1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
whitespace-sensitive,-1,-1,-1,-1,+1,-1,-1,+1,+1,-1,-1,-1
uniform-syntax,-1,-1,-1,-1,-1,-1,-1,-1,+1,-1,-1,+1
expression-oriented,-1,-1,-1,-1,+1,-1,+1,-1,+1,+1,+1,+1
