C,C++,C#,D,Haskell,Java,JavaScript,LLVM-IR,ML,Python,ripl,Rust,Scala,Scheme
Garbage Collection,-1,-1,+1,+1,+1,+1,+1,+0,+1,+1,+0,-1,+1,+1
Explicit Indirection,+1,+1,-1,+1,-1,-1,-1,+1,-1,-1,+1,+1,-1,-1
Ownership System,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,+0,+1,-1,-1
Memory Safety,-1,-1,+1,+1,+1,+1,+1,-1,+1,+1,+1,+1,+1,+1
Static Typing,+1,+1,+1,+1,+1,+1,-1,+1,+1,-1,+1,+1,+1,-1
Type Inference,-1,+1,+1,+1,+1,-1,+0,-1,+1,+0,+1,+1,+1,+0
Sub-typing,+1,+1,+1,+1,-1,+1,+1,-1,-1,+1,+1,-1,+1,-1
Parametric Polymorphism,-1,+1,+1,+1,+1,+1,+0,-1,+1,+0,+1,+1,+1,+0
Type Classes,-1,-1,-1,-1,+1,-1,+0,-1,+1,-1,+1,+1,-1,-1
Type Level Programming,-1,+1,-1,+1,+1,-1,+0,-1,+1,+0,+1,-1,+1,+0
Ad-hoc Polymorphism,-1,+1,+1,+1,-1,+1,+0,-1,-1,+0,+1,-1,+1,+0
Classical Inheritance,-1,+1,+1,+1,-1,+1,-1,-1,-1,+1,-1,-1,+1,-1
Prototypal Inheritance,-1,-1,-1,-1,-1,-1,+1,-1,-1,-1,-1,-1,-1,-1
Strict Evaluation,+1,+1,+1,+1,-1,+1,+1,+1,+1,+1,+1,+1,+1,+1
Type-safe Discriminated Unions,-1,-1,-1,+1,+1,-1,-1,-1,+1,-1,+1,+1,+1,-1
Null Safety,-1,-1,-1,-1,+1,-1,-1,-1,+1,-1,+1,+1,-1,+1
Pattern Matching,-1,-1,-1,-1,+1,-1,-1,-1,+1,-1,+1,+1,+1,-1
Mutable Data,+1,+1,+1,+1,-1,+1,+1,+1,+1,+1,+1,+1,+1,+1
Immutable Data,-1,+1,-1,+1,+1,-1,-1,-1,+1,-1,+1,+1,+1,-1
Constraints on Mutability,-1,+1,-1,+1,-1,-1,-1,-1,-1,-1,+1,+1,-1,-1
Constraints on Function Purity,-1,-1,-1,+1,+1,-1,-1,-1,-1,-1,+1,-1,-1,-1
C-style Syntax,+1,+1,+1,+1,-1,+1,+1,-1,-1,+1,-1,+1,+1,-1
Header Files,+1,+1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Whitespace Sensitive,-1,-1,-1,-1,+1,-1,-1,-1,-1,+1,+1,-1,-1,-1
Uniform Syntax,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,+1,-1,-1,+1
Expression Oriented,-1,-1,-1,-1,+1,-1,-1,-1,+1,-1,+1,+1,+1,+1
Top Level Functions,+1,+1,-1,+1,+1,-1,+1,+1,+1,+1,+1,+1,-1,+1
Methods,-1,+1,+1,+1,-1,+1,+1,-1,+0,+1,-1,-1,+1,-1
Uniform Function Call Syntax,+0,-1,+0,+1,+0,+0,-1,-1,+0,-1,+1,+1,+0,+0
Compile Time Function Evaluation,-1,+1,-1,+1,-1,-1,+0,-1,-1,+0,+1,-1,-1,+0
Closures,-1,+1,+1,+1,+1,+1,+1,-1,+1,+1,+1,+1,+1,+1
